rebalance_date,ticker,weight
2018-10-31,GLD.US,0.1
2018-10-31,IEF.US,0.1
2018-10-31,IWM.US,0.1
2018-10-31,QQQ.US,0.1
2018-10-31,SPY.US,0.1
2018-10-31,TLT.US,0.1
2018-10-31,UUP.US,0.1
2018-10-31,VNQ.US,0.1
2018-10-31,XLF.US,0.1
2018-10-31,XLK.US,0.1
2018-11-30,GLD.US,0.1
2018-11-30,IEF.US,0.1
2018-11-30,IWM.US,0.1
2018-11-30,QQQ.US,0.1
2018-11-30,SPY.US,0.1
2018-11-30,TLT.US,0.1
2018-11-30,UUP.US,0.1
2018-11-30,VNQ.US,0.1
2018-11-30,XLF.US,0.1
2018-11-30,XLK.US,0.1
2018-12-31,GLD.US,0.1
2018-12-31,IEF.US,0.1
2018-12-31,IWM.US,0.1
2018-12-31,QQQ.US,0.1
2018-12-31,SPY.US,0.1
2018-12-31,TLT.US,0.1
2018-12-31,UUP.US,0.1
2018-12-31,VNQ.US,0.1
2018-12-31,XLF.US,0.1
2018-12-31,XLK.US,0.1
2019-01-31,GLD.US,0.1
2019-01-31,IEF.US,0.1
2019-01-31,IWM.US,0.1
2019-01-31,QQQ.US,0.1
2019-01-31,SPY.US,0.1
2019-01-31,TLT.US,0.1
2019-01-31,UUP.US,0.1
2019-01-31,VNQ.US,0.1
2019-01-31,XLF.US,0.1
2019-01-31,XLK.US,0.1
2019-02-28,GLD.US,0.1
2019-02-28,IEF.US,0.1
2019-02-28,IWM.US,0.1
2019-02-28,QQQ.US,0.1
2019-02-28,SPY.US,0.1
2019-02-28,TLT.US,0.1
2019-02-28,UUP.US,0.1
2019-02-28,VNQ.US,0.1
2019-02-28,XLF.US,0.1
2019-02-28,XLK.US,0.1
2019-03-29,GLD.US,0.1
2019-03-29,IEF.US,0.1
2019-03-29,IWM.US,0.1
2019-03-29,QQQ.US,0.1
2019-03-29,SPY.US,0.1
2019-03-29,TLT.US,0.1
2019-03-29,UUP.US,0.1
2019-03-29,VNQ.US,0.1
2019-03-29,XLF.US,0.1
2019-03-29,XLK.US,0.1
2019-04-30,GLD.US,0.1
2019-04-30,IEF.US,0.1
2019-04-30,IWM.US,0.1
2019-04-30,QQQ.US,0.1
2019-04-30,SPY.US,0.1
2019-04-30,TLT.US,0.1
2019-04-30,UUP.US,0.1
2019-04-30,VNQ.US,0.1
2019-04-30,XLF.US,0.1
2019-04-30,XLK.US,0.1
2019-05-31,GLD.US,0.1
2019-05-31,IEF.US,0.1
2019-05-31,IWM.US,0.1
2019-05-31,QQQ.US,0.1
2019-05-31,SPY.US,0.1
2019-05-31,TLT.US,0.1
2019-05-31,UUP.US,0.1
2019-05-31,VNQ.US,0.1
2019-05-31,XLF.US,0.1
2019-05-31,XLK.US,0.1
2019-06-28,GLD.US,0.1
2019-06-28,IEF.US,0.1
2019-06-28,IWM.US,0.1
2019-06-28,QQQ.US,0.1
2019-06-28,SPY.US,0.1
2019-06-28,TLT.US,0.1
2019-06-28,UUP.US,0.1
2019-06-28,VNQ.US,0.1
2019-06-28,XLF.US,0.1
2019-06-28,XLK.US,0.1
2019-07-31,GLD.US,0.1
2019-07-31,IEF.US,0.1
2019-07-31,IWM.US,0.1
2019-07-31,QQQ.US,0.1
2019-07-31,SPY.US,0.1
2019-07-31,TLT.US,0.1
2019-07-31,UUP.US,0.1
2019-07-31,VNQ.US,0.1
2019-07-31,XLF.US,0.1
2019-07-31,XLK.US,0.1
